Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
Animal ID,Name,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-224,Nena,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,9/26/2019,Owner/Guardian Surrender,9/30/2019,Adoption,5,4,5
GPG-A-224-2,Nena,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/25/2019,Return,11/27/2019,Adoption,2,0,2
GPG-A-340,Gala,Collie,Adult Dog (6 months+),Transfer Out,12/5/2019,Stray,12/5/2019,Transfer Out,1,1,0
GPG-A-560,Mr. Rogers,"Terrier, American Pit Bull",Adult Dog (6 months+),Adopted,2/27/2020,Transfer In,4/4/2020,Adoption,37,6,37
GPG-A-1153,Spot,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/17/2020,Transfer In,1/4/2021,Adoption,49,2,49
GPG-A-1153-2,Spot,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/5/2021,Return,1/29/2021,Adoption,24,11,24
GPG-A-1153-3,Spot,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,1/30/2021,Return,5/1/2021,Adoption,91,7,88
GPG-A-1469,Ciao,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,2/11/2021,Owner/Guardian Surrender,4/8/2021,Adoption,57,3,57
GPG-A-1566-2,Checo,"Bulldog, American",Adult Dog (6 months+),Adopted,3/30/2021,Owner/Guardian Surrender,4/2/2021,Adoption,3,3,3
GPG-A-2440,Barley,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,10/14/2021,Owner/Guardian Surrender,2/3/2023,Adoption,478,77,478
GPG-A-2489,Jack,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,10/26/2021,Transfer In,2/24/2022,Adoption,122,26,122
GPG-A-1153-4,Spot,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,11/18/2021,Owner/Guardian Surrender,2/21/2022,Adoption,95,62,43
GPG-A-2947,Avery,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/1/2022,Transfer In,N/A,N/A,393,32,393
GPG-A-2961,Cabbage,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,3/3/2022,Transfer In,4/19/2022,Adoption,48,29,48
GPG-A-1153-5,Spot,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/8/2022,Owner/Guardian Surrender,N/A,N/A,386,64,386
GPG-A-2971,Titon,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,3/10/2022,Transfer In,5/3/2022,Adoption,55,29,55
GPG-A-3022,Vista,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,3/22/2022,Transfer In,7/25/2022,Adoption,126,11,123
GPG-A-2489-2,Jack,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,3/31/2022,Owner/Guardian Surrender,5/11/2022,Adoption,42,14,42
GPG-A-1566-3,Checo,"Bulldog, American",Adult Dog (6 months+),N/A,4/29/2022,Owner/Guardian Surrender,N/A,N/A,334,91,326
GPG-A-2489-3,Jack,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,5/12/2022,Return,8/5/2022,Adoption,85,14,85
GPG-A-3443,Choc,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,6/16/2022,Transfer In,N/A,N/A,286,30,286
GPG-A-3451,Dyson,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 12",6/21/2022,Transfer In,N/A,N/A,281,43,281
GPG-A-3524,Tico,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,6/29/2022,Owner/Guardian Surrender,9/11/2022,Adoption,74,2,74
GPG-A-3680,Poncho,"Retriever, Labrador",Adult Dog (6 months+),N/A,7/28/2022,Owner/Guardian Surrender,N/A,N/A,244,4,15
GPG-A-2961-2,Cabbage,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,7/30/2022,Owner/Guardian Surrender,1/19/2023,Adoption,174,18,140
GPG-A-3697,Uno,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,8/2/2022,Stray,N/A,N/A,239,1,239
GPG-A-2971-2,Titon,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,8/4/2022,Transfer In,N/A,N/A,237,17,223
GPG-A-3745,Dexter,"Terrier, Pit Bull",Adult Dog (6 months+),Adopted,8/16/2022,Owner/Guardian Surrender,11/16/2022,Adoption,92,27,91
GPG-A-3780,Gail,Hound,Adult Dog (6 months+),N/A,8/18/2022,Transfer In,N/A,N/A,223,28,173
GPG-A-1469-2,Ciao,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,8/18/2022,Owner/Guardian Surrender,N/A,N/A,223,10,223
GPG-A-3853,Fall,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,9/8/2022,Transfer In,N/A,N/A,202,4,202
GPG-A-2489-4,Jack,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,9/20/2022,Owner/Guardian Surrender,N/A,N/A,190,39,190
GPG-A-3903,Mya,Affenpinscher,Adult Dog (6 months+),N/A,9/27/2022,Owner/Guardian Surrender,N/A,N/A,183,25,183
GPG-A-3928,Sonia,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,10/3/2022,Transfer In,N/A,N/A,177,33,177
