Animal ID,Name,Species,Primary Breed,Age Group,Location,Intake Date,Intake Type,OutCome Date,OutCome Type,Days in Custody,Days on Site,Days Available
GPG-A-4537,Frisky-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,2/23/2023,Owner/Guardian Surrender,-,-,34,11,34
GPG-A-4536,Adaline,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 2",2/24/2023,Stray,-,-,33,33,9
GPG-A-4540,Hope Joy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,2/25/2023,Stray,-,-,32,11,2
GPG-A-560-2,Mr. Rogers,Dog,"Terrier, American Pit Bull",Adult Dog (6 months+),N/A,2/28/2023,Owner/Guardian Surrender,-,-,29,0,29
GPG-A-4548,Thump,Dog,Great Dane,Adult Dog (6 months+),N/A,3/2/2023,Stray,-,-,27,9,19
GPG-A-4546,Remy,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 14",3/2/2023,Transfer In,-,-,27,18,27
GPG-A-3145-2,Kleo-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/2/2023,Owner/Guardian Surrender,-,-,27,1,27
GPG-A-773-2,Aloysius-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/3/2023,Stray,-,-,26,15,0
GPG-A-4549,Toffee,Dog,"Poodle, Standard",Adult Dog (6 months+),Adopted,3/7/2023,Stray,3/14/2023,Adoption,8,3,5
GPG-A-4550,Samoa,Dog,"Poodle, Standard",Adult Dog (6 months+),N/A,3/7/2023,Stray,-,-,22,16,15
GPG-A-4551,Theodore,Dog,Great Dane,Adult Dog (6 months+),N/A,3/8/2023,Owner/Guardian Surrender,-,-,21,9,5
GPG-A-4555,Thin Mint-C,Cat,Domestic Shorthair,Kitten (6 weeks-5 months),N/A,3/8/2023,Owner/Guardian Surrender,-,-,21,2,0
GPG-A-4556,Peanut Butter Patty-C,Cat,Domestic Shorthair,Kitten (6 weeks-5 months),N/A,3/8/2023,Owner/Guardian Surrender,-,-,21,2,0
GPG-A-4557,Shortbread-C,Cat,Domestic Shorthair,Kitten (6 weeks-5 months),N/A,3/8/2023,Owner/Guardian Surrender,-,-,21,2,0
GPG-A-4554,Eloise,Dog,"Hound, Plott",Adult Dog (6 months+),N/A,3/9/2023,Stray,-,-,20,12,19
GPG-A-4558,Chaco,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Intake Holding Room 1, Kennel 1",3/9/2023,Transfer In,-,-,20,4,20
GPG-A-4560,August,Dog,"Retriever, Labrador",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,-,-,20,9,20
GPG-A-4561,Pansy,Dog,"Retriever, Labrador",Adult Dog (6 months+),Adopted,3/9/2023,Transfer In,3/17/2023,Adoption,8,8,8
GPG-A-4562,Jane,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,-,-,20,5,20
GPG-A-4563,Miller,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/9/2023,Transfer In,-,-,20,18,0
GPG-A-3275-2,Trudy-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/9/2023,Owner/Guardian Surrender,-,-,20,0,20
GPG-A-4588,Momma Spookey-C D stop 1,Cat,Domestic Longhair,Adult Cat (6 months+),N/A,3/12/2023,Service In,-,-,17,6,12
GPG-A-4589,Katydid-C,Cat,Domestic Longhair,Kitten Unweaned (0-6 weeks),N/A,3/12/2023,Service In,-,-,17,6,12
GPG-A-4590,Grasshopper-C,Cat,Domestic Longhair,Kitten Unweaned (0-6 weeks),N/A,3/12/2023,Service In,-,-,17,6,12
GPG-A-4591,Rainbow-C,Cat,Domestic Longhair,Kitten Unweaned (0-6 weeks),N/A,3/12/2023,Service In,-,-,17,6,12
GPG-A-4571,Ameren,Dog,"Shepherd, German",Adult Dog (6 months+),N/A,3/13/2023,Stray,-,-,16,5,12
GPG-A-4572,Mouse,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),N/A,3/13/2023,Transfer In,-,-,16,1,16
GPG-A-4576,Cream Cheese-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/14/2023,Stray,-,-,15,14,2
GPG-A-4573,Nissa,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,-,-,15,15,15
GPG-A-4574,Nala,Dog,"Terrier, Pit Bull",Adult Dog (6 months+),"Adoption Floor (Dog), Kennel 13",3/14/2023,Owner/Guardian Surrender,-,-,15,15,15
GPG-A-4579,Irish,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,-,-,13,1,12
GPG-A-4580,Clover,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,-,-,13,1,12
GPG-A-4581,Guinness,Dog,"Terrier, Pit Bull",Puppy (6 weeks-5 months),N/A,3/16/2023,Stray,-,-,13,1,12
GPG-A-4583,Pepper Jack-C,Cat,Domestic Shorthair,Adult Cat (6 months+),N/A,3/16/2023,Stray,-,-,13,5,8
GPG-A-4584,Precious,Dog,"Terrier, Jack Russell",Adult Dog (6 months+),N/A,3/16/2023,Owner/Guardian Surrender,-,-,13,1,13
